transaction_id,sender_id,receiver_id,amount,country,transaction_type,mode_of_payment,timestamp,is_high_risk_country,is_large_txn,is_suspicious
TXN_0,CUST_3619,CUST_5457,938.54,India,deposit,credit_card,2024-02-20 19:18:00,0,0,0
TXN_1,CUST_4654,CUST_7234,6020.24,India,payment,credit_card,2024-02-04 02:43:00,0,0,0
TXN_2,CUST_3069,CUST_7466,2633.49,India,withdrawal,upi,2024-09-12 08:16:00,0,0,0
TXN_3,CUST_1902,CUST_6840,1825.89,Singapore,deposit,upi,2024-01-03 08:47:00,0,0,0
TXN_4,CUST_1653,CUST_7860,339.25,UK,deposit,debit_card,2024-03-19 09:26:00,0,0,0
TXN_5,CUST_1379,CUST_6557,339.19,India,deposit,upi,2024-08-07 19:26:00,0,0,0
TXN_6,CUST_2881,CUST_7197,119.68,India,payment,credit_card,2024-04-16 17:49:00,0,0,0
TXN_7,CUST_4529,CUST_6482,4022.46,Singapore,withdrawal,upi,2024-01-17 16:25:00,0,0,0
TXN_8,CUST_4166,CUST_6186,1838.16,India,withdrawal,cash,2024-05-18 09:35:00,0,0,0
TXN_9,CUST_3603,CUST_8417,2462.5,USA,withdrawal,debit_card,2024-03-17 06:42:00,0,0,0
TXN_10,CUST_3874,CUST_8837,41.6,Nigeria,transfer,wire_transfer,2024-03-03 07:25:00,1,0,0
TXN_11,CUST_2893,CUST_6555,7007.11,USA,withdrawal,upi,2024-11-02 20:57:00,0,0,0
TXN_12,CUST_1229,CUST_5939,3572.86,India,deposit,debit_card,2024-01-25 02:21:00,0,0,0
TXN_13,CUST_4862,CUST_7324,477.38,Nigeria,deposit,credit_card,2024-06-30 18:20:00,1,0,0
TXN_14,CUST_2879,CUST_5586,401.36,USA,withdrawal,credit_card,2024-07-23 09:18:00,0,0,0
TXN_15,CUST_2754,CUST_8678,405.22,Singapore,payment,debit_card,2024-02-20 08:45:00,0,0,0
TXN_16,CUST_1192,CUST_8528,725.51,India,withdrawal,wire_transfer,2024-10-15 09:17:00,0,0,0
TXN_17,CUST_2576,CUST_6564,1487.86,Singapore,payment,wire_transfer,2024-07-20 10:09:00,0,0,0
TXN_18,CUST_1047,CUST_7787,1131.07,Nigeria,transfer,upi,2024-07-14 12:07:00,1,0,0
TXN_19,CUST_4148,CUST_7626,688.45,USA,transfer,debit_card,2024-02-27 14:00:00,0,0,0
TXN_20,CUST_4587,CUST_7948,1892.74,USA,withdrawal,wire_transfer,2024-02-08 17:49:00,0,0,0
TXN_21,CUST_2222,CUST_8448,300.47,Nigeria,withdrawal,credit_card,2024-10-04 14:55:00,1,0,0
TXN_22,CUST_4778,CUST_7173,691.03,India,deposit,debit_card,2024-02-10 17:30:00,0,0,0
TXN_23,CUST_4406,CUST_8305,912.55,USA,withdrawal,credit_card,2024-11-15 16:09:00,0,0,0
TXN_24,CUST_3997,CUST_6991,1217.87,India,withdrawal,credit_card,2024-06-22 01:04:00,0,0,0
